"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%8","Clark, Dearborn, Jackson, Jefferson, Jennings, Johnson, Scott, Washington, Bartholomew, Brown, Decatur, Fayette, Ohio, Ripley, Switzerland, Wayne","Residential Vacant",7,1,1.05,1.09,23.16,35.41,1.21,0,246
"2.5%9","Dearborn, Decatur, Fayette, Franklin, Jackson, Jefferson, Jennings, Johnson, Rush, Scott, Wayne, Hancock, Bartholomew, Brown, Clark, Henry, Ohio, Ripley, Shelby, Switzerland, Union, Washington","Residential Improved",7,0.92,0.93,0.93,14.84,55.01,1.04,0,5023
"15","Jasper, Newton","Industrial Vacant",5,NA,NA,NA,NA,NA,NA,NA,0
"df_sp3","Jasper, Newton, Lake","Industrial Improved",5,0.48,0.9,1.35,25.88,34.85,0.91,0,5
"df_sp4","Fountain, Jasper","Commercial Vacant",5,0.98,1.02,1.08,22.75,41.31,1.25,0,6
"2.5%10","Benton, Fountain, Jasper, Lake, Laporte, Newton, Porter, Pulaski, Warren","Commercial Improved",5,0.92,0.95,0.97,19.05,55.7,1.08,0,89
"2.5%11","Fountain, Newton, Warren, Jasper, Lake, Laporte, Porter, Pulaski, Starke, Tippecanoe, White","Residential Vacant",5,1.01,1.06,1.1,16.62,23.33,1.16,0,156
"2.5%12","Lake, Newton, Warren, White, Benton, Fountain, Jasper, Laporte, Porter, Pulaski, Starke, Tippecanoe","Residential Improved",5,0.96,0.97,0.97,37.2,128.01,1.22,0,2814
"16","","Industrial Vacant",2,NA,NA,NA,NA,NA,NA,NA,0
"df_sp5","Clay, Montgomery, Morgan, Owen, Putnam","Industrial Improved",2,0.89,0.96,1.09,13.46,16.61,1.02,0,6
"df_sp6","Clay, Greene, Morgan, Parke, Putnam","Commercial Vacant",2,0.71,1,1.21,56.45,71.54,1.46,0,16
"2.5%13","Parke, Boone, Brown, Clay, Fountain, Greene, Johnson, Montgomery, Morgan, Owen, Putnam, Sullivan, Vermillion, Vigo","Commercial Improved",2,0.95,0.98,0.99,38.25,106.48,0.99,0,99
"2.5%14","Fountain, Hamilton, Johnson, Owen, Parke, Putnam, Vermillion, Brown, Clay, Greene, Monroe, Morgan, Sullivan, Tippecanoe, Vigo, Warren","Residential Vacant",2,0.99,1.02,1.05,19.76,34.57,1.13,0,318
"2.5%15","Clinton, Hamilton, Johnson, Owen, Parke, Putnam, Tippecanoe, Boone, Brown, Clay, Fountain, Greene, Hendricks, Monroe, Montgomery, Morgan, Sullivan, Tipton, Vermillion, Vigo, Warren","Residential Improved",2,0.94,0.94,0.94,14.89,54.48,1.04,0,3936
"17","Marshall, St. Joseph, Starke","Industrial Vacant",6,NA,NA,NA,NA,NA,NA,NA,0
"2.5%16","Carroll, Cass, Fulton, Kosciusko, Marshall, Pulaski, St. Joseph, Starke","Industrial Improved",6,0.83,0.96,1.02,16.38,22.55,1.1,0,27
"df_sp7","Carroll, Cass, Marshall, Starke","Commercial Vacant",6,0.72,0.99,1.04,49.73,81.68,1.43,0,13
"2.5%17","Carroll, Cass, Fulton, Howard, Kosciusko, Marshall, Pulaski, St. Joseph, Starke","Commercial Improved",6,0.92,0.94,0.99,23.31,59.61,1.05,0,161
"2.5%18","Starke, Carroll, Cass, Fulton, Howard, Kosciusko, Laporte, Marshall, Pulaski, Tipton, White","Residential Vacant",6,1.01,1.06,1.09,19.45,31.28,1.18,0,200
"2.5%19","Carroll, Cass, Fulton, Pulaski, St. Joseph, Starke, Clinton, Howard, Kosciusko, Laporte, Marshall, Miami, Tippecanoe, Tipton, Wabash, White","Residential Improved",6,0.93,0.94,0.94,20.38,81.99,1.08,0,4445
"18","Warrick, Knox, Perry","Industrial Vacant",4,NA,NA,NA,NA,NA,NA,NA,0
"df_sp8","Dubois, Perry, Posey, Warrick","Industrial Improved",4,0.98,0.99,1.06,5.95,8.84,1.04,0,6
"df_sp9","Warrick, Knox, Posey, Sullivan","Commercial Vacant",4,1,1.14,2.98,81.27,57.01,1.92,0,9
"2.5%20","Crawford, Dubois, Gibson, Greene, Harrison, Knox, Lawrence, Martin, Orange, Perry, Pike, Posey, Sullivan, Warrick, Washington","Commercial Improved",4,0.93,0.95,0.98,12.05,15.39,1.02,0,176
"2.5%21","Knox, Posey, Warrick, Washington, Crawford, Daviess, Dubois, Floyd, Gibson, Greene, Harrison, Lawrence, Martin, Monroe, Orange, Perry, Pike, Spencer","Residential Vacant",4,1.03,1.04,1.07,18.24,30.74,1.17,0,326
"2.5%22","Dubois, Lawrence, Martin, Orange, Pike, Posey, Warrick, Washington, Clark, Crawford, Daviess, Floyd, Gibson, Greene, Harrison, Jackson, Knox, Monroe, Perry, Spencer, Sullivan, Vanderburgh","Residential Improved",4,0.92,0.92,0.93,15.8,50.76,1.05,0,2966
"df_sp10","Allen","Industrial Vacant",14,0.89,0.99,1.14,13.99,18.14,1.1,0,10
"df_sp11","Allen","Industrial Improved",14,0.88,0.92,0.93,5.15,7.4,1,0,16
"df_sp12","Allen","Commercial Vacant",14,0.87,0.93,1.02,6.33,7.75,1.03,0,11
"2.5%23","Allen, Dekalb, Lagrange, Steuben, Wells","Commercial Improved",14,0.91,0.94,0.96,10.66,15.65,1.01,0,96
"2.5%24","Steuben, Allen, Dekalb, Lagrange, Noble","Residential Vacant",14,1.04,1.07,1.13,16.12,21.53,1.1,0,69
"2.5%25","Allen, Dekalb, Noble, Steuben, Grant, Lagrange, Randolph, Wabash, Wells, Whitley","Residential Improved",14,0.99,0.99,0.99,17.95,59.61,1.07,0,6883
"19","Monroe","Industrial Vacant",13,NA,NA,NA,NA,NA,NA,NA,0
"df_sp13","Dearborn, Monroe","Industrial Improved",13,0.49,0.64,0.77,13.7,18.18,1.01,0,5
"df_sp14","Bartholomew, Monroe","Commercial Vacant",13,0.56,0.97,1.03,11.95,21.44,0.99,0,5
"2.5%26","Bartholomew, Clark, Dearborn, Floyd, Jennings, Lawrence, Monroe, Scott","Commercial Improved",13,0.95,0.96,0.98,9.65,12.28,1.02,0,213
"2.5%27","Clark, Dearborn, Floyd, Scott, Bartholomew, Brown, Harrison, Lawrence, Monroe, Owen","Residential Vacant",13,1.06,1.09,1.11,14.08,23.16,1.18,0,230
"2.5%28","Brown, Clark, Dearborn, Floyd, Lawrence, Monroe, Bartholomew, Franklin, Harrison, Jennings, Martin, Owen, Ripley, Scott","Residential Improved",13,0.94,0.95,0.95,11.18,27.18,1.02,0,6565
"df_sp15","Johnson, Marion","Industrial Vacant",11,0.94,1,1.25,12.22,15.21,1,0,8
"2.5%29","Delaware, Hamilton, Hendricks, Henry, Howard, Johnson, Marion, Morgan, Wayne","Industrial Improved",11,0.85,0.91,0.94,27.72,95.92,1.1,0,49
"2.5%30","Hamilton, Johnson, Henry, Howard, Marion, Morgan, Wayne","Commercial Vacant",11,0.99,1,1.04,56.3,67.02,1.5,0,42
"2.5%31","Boone, Delaware, Grant, Hamilton, Hancock, Hendricks, Henry, Howard, Johnson, Marion, Monroe, Morgan, Wayne","Commercial Improved",11,0.93,0.94,0.96,14.82,22.19,1.01,0,498
"2.5%32","Hamilton, Hancock, Howard, Johnson, Boone, Delaware, Hendricks, Henry, Madison, Marion, Monroe, Morgan, Wayne","Residential Vacant",11,1,1,1.02,17.23,27.89,1.15,0,628
"2.5%33","Delaware, Hamilton, Hancock, Hendricks, Henry, Howard, Johnson, Marion, Wayne, Boone, Brown, Cass, Grant, Madison, Miami, Monroe, Morgan, Shelby, Tipton","Residential Improved",11,0.92,0.93,0.93,13.23,44.32,1.04,0,39996
"110","","Industrial Vacant",12,NA,NA,NA,NA,NA,NA,NA,0
"df_sp16","Tippecanoe, Vigo","Industrial Improved",12,0.97,1.07,1.33,16.99,19.33,1.05,0,10
"111","Tippecanoe","Commercial Vacant",12,NA,NA,NA,NA,NA,NA,NA,0
"2.5%34","Tippecanoe, Carroll, Clay, Vigo, White","Commercial Improved",12,0.88,0.92,0.96,15.97,20.32,1,0,118
"2.5%35","Tippecanoe, Carroll, Vigo, White","Residential Vacant",12,1.05,1.08,1.08,10.06,18.08,1.16,0,263
"2.5%36","Carroll, Tippecanoe, Vigo, White, Boone, Cass, Clay, Fountain, Howard, Montgomery, Owen, Warren","Residential Improved",12,0.9,0.9,0.9,14.24,48.93,1.03,0,4445
"112","Dubois","Industrial Vacant",10,NA,NA,NA,NA,NA,NA,NA,0
"df_sp17","Dubois, Knox, Vanderburgh, Warrick","Industrial Improved",10,0.83,0.88,0.94,11.39,16.53,0.96,0,13
"df_sp18","Warrick, Knox, Vanderburgh","Commercial Vacant",10,0.79,0.99,1,23.19,51.58,1.15,0,15
"2.5%37","Vanderburgh, Dubois, Greene, Knox, Warrick","Commercial Improved",10,0.88,0.91,0.94,17.27,22.14,1.03,0,136
"2.5%38","Dubois, Knox, Posey, Warrick, Greene, Spencer, Vanderburgh","Residential Vacant",10,1.03,1.05,1.07,12.94,24.52,1.17,0,335
"2.5%39","Dubois, Vanderburgh, Warrick, Greene, Knox, Pike, Posey, Spencer, Sullivan","Residential Improved",10,0.94,0.95,0.95,14.19,47.43,1.03,0,4223
"df_sp19","Elkhart, Kosciusko, St. Joseph","Industrial Vacant",8,0.32,1.21,1.56,33.8,51.49,2.1,0,8
"2.5%40","Elkhart, Kosciusko, St. Joseph","Industrial Improved",8,0.84,0.91,1.05,19.66,22.43,1,0,53
"df_sp20","Elkhart, Kosciusko, St. Joseph","Commercial Vacant",8,0.67,0.87,1.13,31.59,39.74,1.11,0,8
"2.5%41","Kosciusko, Elkhart, Laporte, St. Joseph","Commercial Improved",8,0.95,0.98,1.01,17.82,22.61,1.02,0,220
"2.5%42","Kosciusko, Elkhart, Laporte, St. Joseph","Residential Vacant",8,1.08,1.13,1.15,15.19,23.84,1.16,0,214
"2.5%43","Elkhart, St. Joseph, Kosciusko, Lagrange, Laporte, Miami, Noble, Wabash","Residential Improved",8,0.93,0.93,0.94,12.76,16.56,1.02,0,6314
"df_sp21","Jasper, Lake","Industrial Vacant",9,1,1.05,1.16,13.14,21.42,1.07,0,8
"2.5%44","Jasper, Lake","Industrial Improved",9,0.95,0.97,0.98,11.91,39.98,1.04,0,47
"2.5%45","Lake, Newton","Commercial Vacant",9,0.98,1,1.09,51.78,64.66,1.43,0,32
"2.5%46","Lake, Jasper, Laporte, Newton, Porter","Commercial Improved",9,0.97,0.98,0.98,11.28,64.55,1.06,0,585
"2.5%47","Jasper, Lake, Laporte, Newton, Porter","Residential Vacant",9,1.05,1.07,1.08,12.83,19.63,1.12,0,366
"2.5%48","Jasper, Lake, Laporte, Newton, Porter","Residential Improved",9,0.98,0.98,0.98,12.97,53.33,1.04,0,16750
